编号,类型,发起时间,初始化时间,首帧时间,初始化耗时ms,TTFF耗时ms
1,首屏加载,11:19:26.342,,11:19:26.864,200.300,522.500
2,auto_reconnect_1,11:19:34.187,,11:19:34.537,22.100,349.600
3,auto_reconnect_2,11:19:37.211,,11:19:37.543,15.600,331.800
4,auto_reconnect_3,11:19:40.231,,11:19:40.573,23.100,342.600
5,auto_reconnect_4,11:19:43.256,,11:19:43.588,19.100,332.100
6,auto_reconnect_5,11:19:46.277,,11:19:46.609,21.600,331.600
7,auto_reconnect_6,11:19:49.303,,11:19:49.639,20.000,335.400
8,auto_reconnect_7,11:19:52.326,,11:19:52.652,15.700,326.000
9,auto_reconnect_8,11:19:55.350,,11:19:55.714,55.400,363.900
10,auto_reconnect_9,11:19:58.407,,11:19:58.736,16.400,328.500
11,auto_reconnect_10,11:20:01.430,,11:20:01.774,23.100,343.600
