编号,类型,发起时间,初始化时间,首帧时间,初始化耗时ms,TTFF耗时ms
1,首屏加载,11:23:53.081,,11:23:53.422,14.200,340.900
2,auto_reconnect_1,11:23:55.433,,11:23:55.767,21.500,333.700
3,auto_reconnect_2,11:23:58.459,,11:23:58.811,25.100,352.200
4,auto_reconnect_3,11:24:01.489,,11:24:01.830,22.300,340.900
5,auto_reconnect_4,11:24:04.514,,11:24:04.847,19.400,333.800
6,auto_reconnect_5,11:24:07.538,,11:24:07.865,16.900,327.300
7,auto_reconnect_6,11:24:10.562,,11:24:10.903,20.200,340.700
8,auto_reconnect_7,11:24:13.585,,11:24:13.904,10.600,319.700
9,auto_reconnect_8,11:24:16.597,,11:24:16.932,20.700,334.400
10,auto_reconnect_9,11:24:19.622,,11:24:19.963,22.600,340.200
11,auto_reconnect_10,11:24:22.653,,11:24:22.984,21.600,331.000
