编号,类型,发起时间,初始化时间,首帧时间,初始化耗时ms,TTFF耗时ms
1,首屏加载,11:25:17.572,,11:25:17.916,22.300,344.800
2,auto_reconnect_1,11:25:21.217,,11:25:21.561,27.600,344.100
3,auto_reconnect_2,11:25:24.251,,11:25:24.576,18.400,325.500
4,auto_reconnect_3,11:25:27.275,,11:25:27.598,14.200,323.400
5,auto_reconnect_4,11:25:30.293,,11:25:30.626,21.000,332.800
6,auto_reconnect_5,11:25:33.318,,11:25:33.656,20.400,338.100
7,auto_reconnect_6,11:25:36.341,,11:25:36.686,24.400,345.600
8,auto_reconnect_7,11:25:39.367,,11:25:39.710,21.200,343.200
9,auto_reconnect_8,11:25:42.390,,11:25:42.723,24.500,332.700
10,auto_reconnect_9,11:25:45.416,,11:25:45.753,21.100,336.800
11,auto_reconnect_10,11:25:48.445,,11:25:48.782,24.900,337.400
