编号,类型,发起时间,初始化时间,首帧时间,初始化耗时ms,TTFF耗时ms
1,首屏加载,11:26:50.734,,11:26:51.067,15.500,333.100
2,auto_reconnect_1,11:26:53.127,,11:26:53.454,11.200,327.100
3,auto_reconnect_2,11:26:56.142,,11:26:56.483,27.000,341.400
4,auto_reconnect_3,11:26:59.170,,11:26:59.504,22.300,333.700
5,auto_reconnect_4,11:27:02.197,,11:27:02.533,25.100,336.400
6,auto_reconnect_5,11:27:05.224,,11:27:05.558,22.900,333.800
7,auto_reconnect_6,11:27:08.249,,11:27:08.588,22.900,339.300
8,auto_reconnect_7,11:27:11.274,,11:27:11.606,20.400,331.900
9,auto_reconnect_8,11:27:14.297,,11:27:14.630,20.200,332.600
10,auto_reconnect_9,11:27:17.321,,11:27:17.659,20.100,337.900
11,auto_reconnect_10,11:27:20.345,,11:27:20.678,22.400,333.000
